代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
600759,洲际油气,石油开采,20260105,3.42,20260106,3.01,1700,-703.7,-11.99%,1,Rank 0.55%,"Rank 0.55%, Score 0.0333, BULL",BULL Hard stop (-12.0%),BULL Hard stop (-12.0%),BULL,csi1000
000048,京基智农,农业综合,20260105,17.68,20260107,15.82,300,-564.2,-10.52%,2,Rank 1.01%,"Rank 1.01%, Score 0.0281, BULL",BULL Hard stop (-10.5%),BULL Hard stop (-10.5%),BULL,csi1000
300409,道氏技术,电气设备,20260107,32.9,20260109,29.58,600,-2015.1,-10.09%,2,Rank 0.55%,"Rank 0.55%, Score 0.0327, BULL",BULL Hard stop (-10.1%),BULL Hard stop (-10.1%),BULL,csi1000
600869,远东股份,电气设备,20260105,8.16,20260115,10.1,500,963.4,23.77%,10,Rank 2.48%,"Rank 2.48%, Score 0.0228, BULL",BULL trailing stop (15.9%),BULL trailing stop (15.9%),BULL,csi1000
600586,金晶科技,玻璃,20260105,5.62,20260119,5.7,1000,72.6,1.42%,14,Rank 0.83%,"Rank 0.83%, Score 0.0311, BULL",BULL trailing stop (16.7%),BULL trailing stop (16.7%),BULL,csi1000
688382,益方生物-U,生物制药,20260105,27.4,20260121,28.28,100,84.3,3.21%,16,Rank 1.74%,"Rank 1.74%, Score 0.0245, BULL",BULL trailing stop (15.7%),BULL trailing stop (15.7%),BULL,csi1000
600403,大有能源,煤炭开采,20260121,7.34,20260122,6.69,2700,-1778.5,-8.86%,1,Rank 0.18%,"Rank 0.18%, Score 0.0602, BULL",BULL Hard stop (-8.9%),BULL Hard stop (-8.9%),BULL,csi1000
000821,ST京机,电气设备,20260105,13.63,20260123,12.16,400,-594.3,-10.79%,18,Rank 0.92%,"Rank 0.92%, Score 0.0304, BULL",BULL Hard stop (-10.8%),BULL Hard stop (-10.8%),BULL,csi1000
601519,大智慧,软件服务,20260105,12.88,20260129,12.85,200,-9.3,-0.23%,24,Rank 3.49%,"Rank 3.49%, Score 0.0199, BULL",BULL trailing stop (16.2%),BULL trailing stop (16.2%),BULL,csi1000
300779,惠城环保,环境保护,20260119,108.1,20260130,98.07,100,-1015.7,-9.28%,11,Rank 0.09%,"Rank 0.09%, Score 0.1306, BULL",BULL Hard stop (-9.3%),BULL Hard stop (-9.3%),BULL,csi1000
